Parcel ID,Date of Assessment,Assessed By,Notes,EUDR Status,Overlap,On Land,In Country,Deforestation Risk,Protected Area Risk,EUDR Data,EUDR Explanation
SNK-9001-F1,2026-07-15,GIS Analyst,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
SNK-9001-F2,2026-04-24,Compliance Officer,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
SNK-9002-F1,2026-07-05,Compliance Officer,Plot falls inside a gazetted forest reserve; excluded from certified volume.,Non-Compliant,full,yes,yes,High,High,baseline=2020-12-31;source=demo-sample,Geometry intersects a protected area and shows post-2020 canopy loss — not eligible for EUDR-compliant sourcing.
SNK-9003-F1,2026-05-09,EUDR Analyst,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
SNK-9004-F1,2026-05-09,GIS Analyst,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
NKB-9001-F1,2026-05-27,Compliance Officer,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
NKB-9001-F2,2026-05-05,Compliance Officer,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
NKB-9002-F1,2026-05-26,Compliance Officer,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
NKB-9003-F1,2026-07-04,GIS Analyst,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
NKB-9004-F1,2026-06-05,Compliance Officer,Northern edge sits close to a reserve buffer — re-walk requested before the next shipment.,Needs Review,partial,yes,yes,Medium,Low,baseline=2020-12-31;source=demo-sample,Partial overlap with a buffer polygon in the 2020 baseline; needs a second survey to confirm the boundary.
ADW-9001-F1,2026-07-17,Compliance Officer,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
ADW-9001-F2,2026-05-18,EUDR Analyst,Northern edge sits close to a reserve buffer — re-walk requested before the next shipment.,Needs Review,partial,yes,yes,Medium,Low,baseline=2020-12-31;source=demo-sample,Partial overlap with a buffer polygon in the 2020 baseline; needs a second survey to confirm the boundary.
